"2017-01-18 11:54:20 [main] INFO  c.m.c.controller.ContactControllerIT - Starting ContactControllerIT on aleksandrk with PID 1452 (started by AleksandrK in C:\Documents and Settings\aleksandrk\workspace\contactbook)
""2017-01-18 11:54:47 [main] INFO  c.m.c.s.impl.ContactServiceImpl - Contact found and retrieved!
""2017-01-18 11:54:47 [main] INFO  c.m.c.s.impl.ContactServiceImpl - Start to fetch contacts from DB.
""2017-01-18 11:54:47 [main] INFO  c.m.c.s.impl.ContactServiceImpl - Contacts retrieved!
""2017-01-18 11:54:47 [main] INFO  c.m.c.dao.impl.ContactDaoImpl - Start to fetch contacts from Cache.
""2017-01-18 11:54:49 [main] INFO  c.mental.contactbook.entity.Contact - Created Contact instance!
""2017-01-18 11:54:49 [main] INFO  c.mental.contactbook.entity.Contact - Created Contact instance!
""2017-01-18 11:54:49 [main] INFO  c.mental.contactbook.entity.Contact - Created Contact instance!
""2017-01-18 11:54:49 [main] INFO  c.mental.contactbook.entity.Contact - Created Contact instance!
""2017-01-18 11:54:49 [main] INFO  c.mental.contactbook.entity.Contact - Created Contact instance!
""2017-01-18 11:56:50 [main] INFO  c.m.c.c.ContactControllerMockTest - Starting ContactControllerMockTest on aleksandrk with PID 608 (started by AleksandrK in C:\Documents and Settings\aleksandrk\workspace\contactbook)
""2017-01-18 11:56:50 [main] INFO  c.m.c.c.ContactControllerMockTest - No active profile set, falling back to default profiles: default
""2017-01-18 11:56:59 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring FrameworkServlet ''
""2017-01-18 11:56:59 [main] INFO  o.s.t.w.s.TestDispatcherServlet - FrameworkServlet '': initialization started
""2017-01-18 11:56:59 [main] INFO  o.s.t.w.s.TestDispatcherServlet - FrameworkServlet '': initialization completed in 47 ms
""2017-01-18 11:57:00 [main] INFO  c.m.c.c.ContactControllerMockTest - Started ContactControllerMockTest in 11.328 seconds (JVM running for 16.342)
""2017-01-18 11:57:00 [main] INFO  c.m.c.controller.ContactController - Request for fetching contacts that not match regex: ^$!
""2017-01-18 11:57:01 [main] INFO  c.m.c.controller.ContactController - Request for fetching Contact with id: 9223372036854775807!
""2017-01-18 11:57:01 [main] INFO  c.m.c.controller.ContactController - Request for fetching Contact with id: 1!
""2017-01-18 11:57:01 [main] INFO  c.m.c.controller.ContactController - Request for fetching all Contacts.
""2017-01-18 11:57:01 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.mental.contactbook.controller.ContactResourceAssemblerTest], using SpringBootContextLoader
""2017-01-18 11:57:01 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.mental.contactbook.controller.ContactResourceAssemblerTest]: no resource found for suffixes {-context.xml, Context.groovy}.
""2017-01-18 11:57:01 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
